                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.673,                 2.4905,                 1.5733,                0.68598,                0.23125,                0.26522,                0.10561,                 1.9165,                 2.6396,                  1.706,             0.00046641,             0.00046641,             0.00046641
                      1,                 1.7069,                 1.8997,                 1.5668,                0.59624,                0.23357,                0.24514,                0.09064,                 2.1278,                 2.6399,                 2.0903,             0.00093901,             0.00093901,             0.00093901
                      2,                  1.709,                  1.914,                 1.6016,                0.26642,                0.27312,                 0.1782,                0.06332,                 2.1597,                 2.9107,                 2.0541,              0.0014078,              0.0014078,              0.0014078
                      3,                 1.7596,                 1.8775,                  1.624,                0.34809,                0.29323,                 0.2583,                0.10353,                 2.1715,                 2.6303,                 2.0706,               0.001412,               0.001412,               0.001412
                      4,                 1.7469,                 1.8402,                 1.6257,                0.49079,                0.29678,                0.28221,                0.10683,                  2.053,                  2.712,                 1.9352,               0.001412,               0.001412,               0.001412
                      5,                 1.7105,                 1.7969,                 1.5858,                0.38728,                0.40547,                0.35071,                0.14336,                 2.1213,                 2.4779,                 2.0736,              0.0014064,              0.0014064,              0.0014064
                      6,                  1.698,                 1.7146,                 1.5777,                0.44693,                0.41695,                 0.3229,                0.13413,                  2.053,                 2.4566,                  1.961,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.6688,                 1.7111,                 1.5679,                0.46584,                0.44289,                0.36109,                0.13941,                 2.0281,                   2.56,                 1.8564,               0.001395,               0.001395,               0.001395
                      8,                 1.6716,                 1.6577,                 1.5661,                 0.4667,                0.47377,                0.45859,                0.18498,                 2.0075,                 1.8831,                 1.8203,              0.0013894,              0.0013894,              0.0013894
                      9,                 1.6605,                 1.6519,                 1.5621,                0.49776,                0.38452,                0.38247,                0.16044,                 1.9742,                 2.0468,                  1.886,              0.0013837,              0.0013837,              0.0013837
                     10,                 1.6307,                 1.5733,                 1.5363,                0.52171,                0.44216,                0.42214,                 0.1723,                 2.0148,                 2.0037,                 1.9104,              0.0013781,              0.0013781,              0.0013781
                     11,                 1.6222,                 1.5537,                 1.5283,                0.55451,                0.45009,                0.46617,                0.21266,                 1.9047,                 1.8561,                 1.8264,              0.0013724,              0.0013724,              0.0013724
                     12,                 1.6111,                 1.5402,                 1.5217,                0.56464,                 0.4819,                0.50029,                0.22363,                 1.9405,                  1.695,                  1.827,              0.0013668,              0.0013668,              0.0013668
                     13,                 1.6039,                 1.5065,                 1.5172,                0.62137,                0.45612,                0.49381,                0.21398,                 1.9591,                 1.8875,                 1.8236,              0.0013611,              0.0013611,              0.0013611
                     14,                 1.5998,                 1.5028,                 1.5001,                0.57834,                0.40423,                0.46296,                0.20427,                 1.9573,                 1.9591,                 1.8875,              0.0013554,              0.0013554,              0.0013554
                     15,                 1.5588,                 1.4459,                 1.4966,                0.66814,                0.53387,                0.54216,                0.23712,                 1.9733,                 1.7181,                 1.8289,              0.0013498,              0.0013498,              0.0013498
                     16,                  1.566,                 1.4374,                 1.4819,                0.69311,                0.51331,                0.56008,                0.26276,                 1.8568,                 1.5944,                  1.742,              0.0013441,              0.0013441,              0.0013441
                     17,                 1.5368,                 1.4135,                 1.4792,                0.63267,                 0.5383,                0.56472,                 0.2496,                 1.9209,                 1.6304,                 1.7684,              0.0013385,              0.0013385,              0.0013385
